Image,Item,Client,Category,Role,Date,Program,Supplier,Notes,Image 2,Image 3,Status
,Die Cut Shipping Sticker,Aspen Posters,Physical Goods,"Graphic Design, Production Management",11.2025,,Sticker Mule,,,,Public
,Winter 25/26 Catalog,Aspen Posters,Physical Goods,"Graphic Design, Production Management",11.2025,,Mixam,,,,Public
,Get a Room: 26,Nothing Radio,"Event Flyers, Event","Bookings, Graphic Design",11.2025,,,Brought in a band from Tenesse for their first show outside of their hometown,,,Public
,215 @ Public Hotel,Nothing Radio,"Event Flyers, Event",Graphic Design,11.2025,,,,,,Public
,Business Card Matchbooks,Studio Luhtala,Physical Goods,"Techpack Design, Production Management",10.2025,,GetMatches,,,,Public
,AW Engraved Notepad,AW,Physical Goods,"Techpack Design, Production Management",10.2025,,Mount Street Printers,,,,Login Required
,Bottle Opener Necklace,Nothing Radio,Accessories,"Designer, Creative Direction, Video Editor",10.2025,,Custom Coasters Now,,,,Featured 1
,Get a Room: Halloween (2025),Nothing Radio,Event Flyer,,10.2025,,Staples,,,,Public
,Studio Luhtala Website,Studio Luhtala,Website,"Web Designer, Graphic Designer, Project Management",9.2025,Squarespace,,studioluhtala.com,,,Public
,Solo Studio Website,Solo Studio LA,Website,"Web Designer, Graphic Designer, Project Management",9.2025,Squarespace,,,,,Public
,Get a Room Flyers: 2025,Nothing Radio,Event Flyer,"Graphic Designer, Photographer",2025,,,,,,Public
,Get a Room Flyers: 2024,Nothing Radio,Event Flyer,"Graphic Designer, Photographer",2024,,,,,,Public
,"Aspen Posters x Framebridge, NYC Popup","Aspen Posters, Framebridge","Event, Physical Goods",Project Management,12.2025,,,,,,Public
,Chateau Marmont Holiday Card 2026,Chateau Marmont,Printed Good,Assistant,12.2025,,,,,,Login Required
,Chateau Marmont Gallery Wall,Chateau Marmont,Project Management,Project Lead,12.2025,,"The Logical Choice, Cityframe",,,,Public
,Nothing Radio Website,Nothing Radio,Website Design,"Website Design, Graphic Design",12.2025,"Squarespace, CSS, HTML",,,,,Public
,"JoRocco + The Standard, Highline","The Standard, JoRocco","Retail, Merchandising",Project Lead,1.2025,,,Redefining the ethos of The Shop at The Standard to provide guests with unique art by New York City artists. JoRocco is a NYC based jewelry designer that does frequent pops-ups at Chelsea Market.,,,Public
,Carolina Sarria video campaign,Carolina Sarria,Video Editing,Video Editor,10.2024,Final Cut Pro,,Develop and edited content for the Carolina Sarria’s S/S 2025 ‘Circus’ collection.,,,Public
,All a Dream (2020),Personal Project,Zine,Graphic Designer,2020,"Photoshop, Collage",,"Zine from when I was living in London and had to leave due to Covid. Exact copies and sizing of boarding passes, Passport and covid health information.",,,Public
